issue,category,distinct_urls_affected
Images Without Alt Text,Accessibility,1482
Missing Meta Description,SEO,1067
Title Too Long,SEO,1014
Moderate Response Time,Performance,853
Meta Description Too Long,SEO,194
Canonical URL Different,Technical,50
Title Too Short,SEO,50
Meta Description Too Short,SEO,41
Slow Response Time,Performance,35
Missing Canonical URL,Technical,1
Missing H1 Tag,SEO,1
Missing Language Attribute,Accessibility,1
Missing OpenGraph Tags,Social,1
Missing Title Tag,SEO,1
Missing Twitter Card Tags,Social,1
Missing Viewport Meta Tag,Mobile,1
No Structured Data,Structured Data,1
Thin Content,Content,1
