issue,url,notes
Missing Meta Description,https://truongvietanh.com/%e2%9c%88du-lich-han-quoc-re-nhu-chuyen-di-trong-nuoc-ban-co-tin-khong/,Representative example
Missing Meta Description,https://truongvietanh.com/%f0%9f%8f%86%f0%9f%8f%86%f0%9f%8f%86-niem-vui-lon-cua-thay-va-tro-truong-viet-anh/,Representative example
Title Too Long,https://truongvietanh.com/%f0%9f%8f%86%f0%9f%8f%86%f0%9f%8f%862019-danh-dau-nam-day-ap-thanh-cong-hoc-sinh-viet-anh/,Representative example
Images Without Alt Text,https://truongvietanh.com/,Homepage affected
Images Without Alt Text,https://truongvietanh.com/%f0%9f%8f%86-chuc-mung-cao-thu-ielts-truong-viet-anh-%f0%9f%8f%86/,Representative example
Moderate Response Time,https://truongvietanh.com/%f0%9f%93%a2-su-kien-thang-8-khong-the-bo-lo-music-talshow-2018/,Representative example
Canonical URL Different,https://truongvietanh.com/,Canonical slash normalization
Canonical URL Different,https://truongvietanh.com/%f0%9f%8f%86-chuc-mung-cao-thu-ielts-truong-viet-anh-%f0%9f%8f%86/,Canonical uses unicode/emoji form
Legacy Redirect,https://truongvietanh.com/lanh-dao/,Live check returns 301 to /gioi-thieu/giao-vien-truong-viet-anh/
